0,1
"List of the world's billionaires, ranked in order of net worth","List of the world's billionaires, ranked in order of net worth"
The net worth of the world's billionaires increased from less than US$1 trillion in 2000 to over $7 trillion in 2015.,The net worth of the world's billionaires increased from less than US$1 trillion in 2000 to over $7 trillion in 2015.
Publication details,Publication details
Publisher,Whale Media InvestmentsForbes family
Publication,Forbes
First published,March 1987[1]
Latest publication,"April 4, 2023"
Current list details (2023)[2],Current list details (2023)[2]
Wealthiest,Bernard Arnault
Net worth (1st),US$211 billion
Number of billionaires,"2,640 (from 2668)"
Total list net worth value,US$12.2 trillion (from US$ 12.7 trillion)
Number of women,337
New members to the list,150
Forbes: The World's Billionaires website,Forbes: The World's Billionaires website
